Titel,Url,Art,Gehalt (p.m.)*,Erfahrung,Ort,Datum
Sachbearbeiter/In Vergaberecht,https://www.karriere.at/jobs/5477377,Vollzeit,2200,Berufserfahrung,Wien,19.3.2019
Immigration lawyer (w/m/d),https://www.karriere.at/jobs/5483854,Vollzeit,3000,Berufserfahrung,Wien,1.4.2019
FH Pflichtpraktikant (m/w/i) für den Bereich Recht & Beschaffung,https://www.karriere.at/jobs/5451830,Praktika,1758,Einsteiger,Wien,1.4.2019
Sachbearbeiter Rechtsabteilung - Investmentfonds (w/m),https://www.karriere.at/jobs/5434740,Vollzeit,2500,Berufserfahrung,Wien 19,1.4.2019
Juristen für das Notariat (m/w),https://www.karriere.at/jobs/5483358,Vollzeit,4666,Berufserfahrung,Wien,1.4.2019
Lawyer Legal Compliance (m/w),https://www.karriere.at/jobs/5483306,Vollzeit,3000,Berufserfahrung,Wien,29.3.2019
Innovationsführer im digitalen Zeitalter sucht: (Senior) Legal Counsel Business Partner (w/m) IT-Recht,https://www.karriere.at/jobs/5483209,Vollzeit,9583,Berufserfahrung,Wien,29.3.2019
Jurist (m/w) Programm-Management,https://www.karriere.at/jobs/5476454,Vollzeit,3333,Berufserfahrung,Wien,29.3.2019
Jurist/in,https://www.karriere.at/jobs/5474803,Vollzeit,2916,Berufserfahrung,Wien,29.3.2019
Jurist/in mit Schwerpunkt Arbeits- und Unternehmensrecht (m/w/d),https://www.karriere.at/jobs/5469197,Vollzeit,0,Berufserfahrung,Wien,29.3.2019
Jurist (w/m) mit Passion? Rechtsanwalt (w/m) Gesellschaftsrecht. Private Equity. M&A und Private Clients,https://www.karriere.at/jobs/5462673,Vollzeit,8333,Berufserfahrung,Wien,29.3.2019
Paralegal/Mitarbeiter Rechtsabteilung (m/w),https://www.karriere.at/jobs/5462267,Vollzeit. Teilzeit. geringfügig,0,Berufserfahrung,Wien. Schwechat,29.3.2019
JuristIn - mit Schwerpunkt Vergabe- und Vertragsrecht,http://www.karriere.at/jobs/5455282,Vollzeit,0,Berufserfahrung,Wien,29.3.2019
MitarbeiterIn Recht (Schwerpunkt Vertragsrecht),https://www.karriere.at/jobs/5454252,Vollzeit,4978,Berufserfahrung,Wien,29.3.2019
JuristIn mit Schwerpunkt E-Business,https://www.karriere.at/jobs/5449556,Vollzeit,2824,Berufserfahrung,Wien,29.3.2019
Juristen | Betriebswirte (m/w),https://www.karriere.at/jobs/5410053,Vollzeit,1406,Berufserfahrung,Wien,29.3.2019
Lawyer (f/m),https://www.karriere.at/jobs/5395635,Vollzeit,0,Berufserfahrung,Wien 3,29.3.2019
Jurist/in Arbeits- und Sozialrecht,https://www.karriere.at/jobs/5482462,Vollzeit,1514,Berufserfahrung,1020 Wien,28.3.2019
Leiter/in – Rechtsabteilung,https://www.karriere.at/jobs/5479693,Vollzeit,2800,Projekt-. Bereichsleitung,Wien,28.3.2019
Jurist/in bzw. Ökonom/in Aufsicht über Signifikante Banken,https://www.karriere.at/jobs/5469008,Vollzeit,0,Berufserfahrung,Wien,28.3.2019
Jurist (m/w) Vertragsrecht & Datenschutz,https://www.karriere.at/jobs/5452591,Vollzeit,3150,Berufserfahrung,Wien,27.3.2019
Jurist (m/w/d),https://www.karriere.at/jobs/5451167,Vollzeit,2200,Berufserfahrung,Wien,27.3.2019
Jurist/in Versicherungsaufsicht und Pensionskassenaufsicht,https://www.karriere.at/jobs/5481101,Vollzeit,0,Berufserfahrung,Wien,26.3.2019
JuristIn,https://www.karriere.at/jobs/5480928,Vollzeit,3077,Berufserfahrung,Wien,26.3.2019
Jurist bzw. Betriebswirt mit juristischem Hintergrund (m/w),https://www.karriere.at/jobs/5472772,Vollzeit,0,Berufserfahrung,Wien,26.3.2019
Jurist in einem Mietrechtsverein (m/w),https://www.karriere.at/jobs/5466019,Teilzeit. geringfügig,0,Einsteiger,Wien,26.3.2019
Assistenz für die Rechtsabteilung (m/w),https://www.karriere.at/jobs/5465495,Vollzeit,1900,Berufserfahrung,Wien,26.3.2019
Jurist/in - Koryphäe aus dem IT-Sektor gesucht!,https://www.karriere.at/jobs/5450004,Vollzeit,7500,Berufserfahrung,Linz. österreichweit,26.3.2019
Jurist*in Abteilung Recht & Compliance,https://www.karriere.at/jobs/5430491,Vollzeit,0,Berufserfahrung,Wien,26.3.2019
Jurist - Datenschutz & Compliance (m/w),https://www.karriere.at/jobs/5474723,Vollzeit,3750,Berufserfahrung,Wien,25.3.2019
Jurist/in Sachversicherungen,https://www.karriere.at/jobs/5474339,Vollzeit,991,Berufserfahrung,Wien,25.3.2019
Jurist mit Schwerpunkt Vergabe- und Vertragsrecht (m/w/d),https://www.karriere.at/jobs/5470257,Vollzeit,4166,Berufserfahrung,Wien,25.3.2019
Jurist/in mit Schwerpunkt Immaterialgüterrecht. Handelsrecht. Compliance,https://www.karriere.at/jobs/5455795,Vollzeit,7513,Berufserfahrung,Neunkirchen,25.3.2019
Rechtsanwalt (w/m/d) öffentliches Recht,https://www.karriere.at/jobs/5449326,Vollzeit,5176,Berufserfahrung,Wien,25.3.2019
JuristIn mit Schwerpunkt Vertragsrecht für internationale Einsatzmodelle unserer Waggons,https://www.karriere.at/jobs/5356462,Vollzeit,7750,Berufserfahrung,Wien,25.3.2019
Senior Jurist/in,https://www.karriere.at/jobs/5479487,Vollzeit,1684,Berufserfahrung,Wien,22.3.2019
Teamassistent/in Rechtsabteilung,https://www.karriere.at/jobs/5479485,Vollzeit,1684,Berufserfahrung,Wien,22.3.2019
Juristischer Mitarbeiter (w/m) Teilzeit (20h),https://www.karriere.at/jobs/5441684,Teilzeit. geringfügig,1733,Einsteiger,Wien,22.3.2019
JuristIn,http://www.karriere.at/jobs/5463425,Vollzeit,3000,Berufserfahrung,Wien,22.3.2019
Jurist (m/w),https://www.karriere.at/jobs/5457928,Vollzeit,6051,Berufserfahrung,Wien,22.3.2019
Data Privacy Lawyer (m/f)/Datenschutzrecht Jurist (m/w),https://www.karriere.at/jobs/5478989,Vollzeit,1255,Berufserfahrung,Wien,21.3.2019
Jurist/in mit IT-Ausbildung,https://www.karriere.at/jobs/5470137,Vollzeit,1211,Einsteiger,Wien,21.3.2019
Leiter/in - Rechtsabteilung,https://www.karriere.at/jobs/5478334,Vollzeit,2084,Projekt-. Bereichsleitung,Wien,20.3.2019
JuristIn Arbeitsrecht,https://www.karriere.at/jobs/5471763,Vollzeit,2674,Berufserfahrung,Wien,20.3.2019
(Senior) IT-Jurist (all genders) zur Gestaltung von Projektverträgen,https://www.karriere.at/jobs/5470952,Vollzeit,12083,Berufserfahrung,Wien,19.3.2019
Jurist (m/w),https://www.karriere.at/jobs/5462277,Vollzeit,1191,Berufserfahrung,Wien,19.3.2019
Lawyer,https://www.karriere.at/jobs/5456812,Vollzeit,0,Berufserfahrung,Wien,19.3.2019
Arzt/Ärztin für Allgemeinmedizin mit jus practicandi,https://www.karriere.at/jobs/5353279,Teilzeit. geringfügig,5308,Berufserfahrung,Wien,19.3.2019
JuristIn in der Rechtsabteilung,https://www.karriere.at/jobs/5476267,Vollzeit,6173,Berufserfahrung,Wien,18.3.2019
Senior Manager Group Data Protection (m/w),https://www.karriere.at/jobs/5461440,Vollzeit,2541,Berufserfahrung,Wien,21.3.2019
Management Trainee (m/w) Digital Media Company – Management Board Office - 6 -12 Monate,https://www.karriere.at/jobs/5453605,Praktika,1800,Einsteiger,Wien,21.3.2019
Referentin bzw. Referent,https://www.karriere.at/jobs/5477982,Vollzeit,3802,Berufserfahrung,Wien,20.3.2019
Sachbearbeiter/In Vergaberecht,https://www.karriere.at/jobs/5477377,Vollzeit,2200,Berufserfahrung,Wien,19.3.2019
Online seit 1. April und trotzdem kein April-Scherz: Legal Counsel mit Schwerpunkt Arbeitsrecht gesucht,https://www.karriere.at/jobs/5483960,Vollzeit,4166,Berufserfahrung,Wien,1.4.2019
Unternehmensjurist/in,https://www.karriere.at/jobs/5468212,Vollzeit,0,Berufserfahrung,Wien,1.4.2019
Rechtsanwaltsanwärter oder Rechtsanwalt (m/w) im Bereich Banking & Finance,https://www.karriere.at/jobs/5462780,Vollzeit,0,Berufserfahrung,Wien,1.4.2019
Legal Counsel - Marketing & Competition Law (m/w),https://www.karriere.at/jobs/5483015,Vollzeit,1716,Berufserfahrung,Wien,29.3.2019
Rechtsanwaltsanwärter/in | Schwerpunkt auf Vergabe- und Immobilienrecht,https://www.karriere.at/jobs/5482631,Vollzeit,0,Berufserfahrung,1010 Wien,28.3.2019
Verfahrensjurist/in Bekämpfung des unerlaubten Geschäftsbetriebs / Kontaktstelle FinTech,https://www.karriere.at/jobs/5467237,Vollzeit,2018,Berufserfahrung,Wien,28.3.2019
Rechtsanwaltsanwärter/in mit kleiner oder großer LU,https://www.karriere.at/jobs/5457435,Vollzeit,0,Einsteiger,Wien,28.3.2019
Junior Legal Counsel m/w (Teilzeit ab 20h),https://www.karriere.at/jobs/5481895,Teilzeit. geringfügig,2235,Einsteiger,Wien,27.3.2019
„Legal Geeks“ als Rechtsanwaltsanwärter (w/m) gesucht!,https://www.karriere.at/jobs/5474623,Vollzeit,5416,Berufserfahrung,Wien,27.3.2019
Sehnsucht nach erstklassiger Ausbildung? Rechtsanwaltsanwärter (m/w) Corporate Law & Real Estate Law Boutique,https://www.karriere.at/jobs/5466443,Vollzeit,6416,Berufserfahrung,Wien,27.3.2019
Konzipient/in / Anwält/in,https://www.karriere.at/jobs/5450732,Vollzeit,0,Berufserfahrung,Feldkirch. Wien. Liechtenstein,27.3.2019
Rechtsanwaltsanwärter (w/m),https://www.karriere.at/jobs/5399477,Vollzeit,3000,Berufserfahrung,Wien,27.3.2019
Junior Legal Counsel (m/w) mit Fokus IP,https://www.karriere.at/jobs/5481110,Vollzeit,2757,Berufserfahrung,Gumpoldskirchen,26.3.2019
Rechtsanwaltsanwärter (m/w) Kartellrecht,http://www.karriere.at/jobs/5480839,Vollzeit,0,Berufserfahrung,Wien,26.3.2019
HR Legal Counsel (m/w),https://www.karriere.at/jobs/5473560,Vollzeit,2400,Berufserfahrung,Wien,26.3.2019
Rechtsanwalt (w/m/d) – Bereich Arbeitsrecht,https://www.karriere.at/jobs/5452583,Vollzeit,4182,Berufserfahrung,Wien,26.3.2019
