Titel,Url,Art,Gehalt (p.m.)*,Erfahrung,Ort,Datum
Sachbearbeiter/in im Innendienst,https://www.karriere.at/jobs/5450585,Vollzeit,1850,Berufserfahrung,Klagenfurt,27.3.2019
Sachbearbeiter (m/w),https://www.karriere.at/jobs/5479711,Vollzeit,0,Berufserfahrung,Villach,22.3.2019
Sachbearbeiter im Bereich Service Desk (m/w),https://www.karriere.at/jobs/5469866,Vollzeit,1145,Berufserfahrung,Ostösterreich,21.3.2019
Sachbearbeiter (m/w) Bereich Personalmanagement / Zeitmanagement,https://www.karriere.at/jobs/5467789,Vollzeit,0,Berufserfahrung,Wolfsberg,18.3.2019
Büro Allrounder (m/w) im Reisebüro & Busunternehmen,https://www.karriere.at/jobs/5483284,Vollzeit,0,Berufserfahrung,Bad Bleiberg,29.3.2019
Auftragsabwicklung & Kundenbetreuung (m/w),https://www.karriere.at/jobs/5481291,Vollzeit,2500,Berufserfahrung,Klagenfurt,26.3.2019
Kfm. Mitarbeiter/in Auftragsabwicklung,https://www.karriere.at/jobs/5480511,Vollzeit,2450,Berufserfahrung,Klagenfurt am Wörthersee,25.3.2019
Mitarbeiter Arbeitsvorbereitung (m/w),https://www.karriere.at/jobs/5460869,Vollzeit,1952,Berufserfahrung,Friesach,19.3.2019
Bürojob im Sachversicherungsbereich (m/w),https://www.karriere.at/jobs/5463082,Vollzeit,1634,Einsteiger,Klagenfurt,25.3.2019
Key Account Management Auto und Cargo (d/m/w),https://www.karriere.at/jobs/5424395,Vollzeit,4000,Berufserfahrung,Österreich,28.3.2019
